"Game","GameTime","Player","PropType","MarketType","Line","Odds","Bookmaker","Timestamp"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_points","Under","8.5","1.8","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jose Alvarado","player_points","Over","6.5","2.11","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jose Alvarado","player_points","Under","6.5","1.71","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mitchell Robinson","player_points","Over","4.5","1.93","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mitchell Robinson","player_points","Under","4.5","1.85","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_rebounds","Over","10.5","1.74","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_rebounds","Under","10.5","2.03","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_rebounds","Over","8.5","1.83","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_rebounds","Under","8.5","1.91","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_rebounds","Over","7.5","1.79","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_rebounds","Under","7.5","1.96","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mitchell Robinson","player_rebounds","Over","7.5","1.85","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mitchell Robinson","player_rebounds","Under","7.5","1.89","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_rebounds","Over","6.5","1.76","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_rebounds","Under","6.5","2.0","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_rebounds","Over","6.5","1.84","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_rebounds","Under","6.5","1.91","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_rebounds","Over","5.5","2.05","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_rebounds","Under","5.5","1.72","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_rebounds","Over","4.5","1.75","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_rebounds","Under","4.5","2.01","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_rebounds","Over","4.5","1.99","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_rebounds","Under","4.5","1.76","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_rebounds","Over","3.5","2.18","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_rebounds","Under","3.5","1.64","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_rebounds","Over","3.5","2.31","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_rebounds","Under","3.5","1.57","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_rebounds","Over","2.5","1.68","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_rebounds","Under","2.5","2.12","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_steals","Over","1.5","1.94","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_steals","Under","1.5","1.8","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_steals","Over","1.5","1.99","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_steals","Under","1.5","1.76","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_steals","Over","1.5","2.1","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_steals","Under","1.5","1.68","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_threes","Over","2.5","1.59","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_threes","Under","2.5","2.28","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_threes","Over","2.5","2.12","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_threes","Under","2.5","1.68","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_threes","Over","2.5","2.12","DraftKings","2026-03-31 11:24:25"
