
> dfs-optimizer@1.0.0 agent
> powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_optimizer.ps1 -Force

[TOKEN WARNING] Single run estimated at 117.00 tokens (> 15).
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.5448 monteCarloEV=0.1230 diff=0.4218
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7728 monteCarloEV=0.6568 diff=0.1160
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.5130 monteCarloEV=0.1863 diff=0.3267
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7577 monteCarloEV=0.5058 diff=0.2519
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7577 monteCarloEV=0.4833 diff=0.2744
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7568 monteCarloEV=0.4196 diff=0.3372
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7565 monteCarloEV=0.6213 diff=0.1352
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7565 monteCarloEV=0.6260 diff=0.1305
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7565 monteCarloEV=0.6093 diff=0.1472
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7565 monteCarloEV=0.5945 diff=0.1620
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.7547 monteCarloEV=0.4940 diff=0.2607
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6887 monteCarloEV=0.4037 diff=0.2850
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6887 monteCarloEV=0.3856 diff=0.3031
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6705 monteCarloEV=0.5066 diff=0.1638
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6705 monteCarloEV=0.4807 diff=0.1898
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6065 monteCarloEV=0.5522 diff=0.0543
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6049 monteCarloEV=0.4100 diff=0.1950
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.6049 monteCarloEV=0.3813 diff=0.2237
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.5445 monteCarloEV=0.4541 diff=0.0904

[METRICS] PP: 1099/1873 matched (58.7%) | UD: 107/279 matched (38.4%) | UD fallback hits: 1/173
WARNING: [WARN] UD fallback hit rate consistently below 30% across 11 slates - audit recommended.
Wrote artifacts\last_run.json (status=success) and artifacts\nba_optimizer_20260316-210147.md
[AUTOMATION_CARD_MATRIX] Running export...
  Missing Monte Carlo data: 2P, 2P_GOBLIN, 3F, 3F_GOBLIN, 3P, 3P_GOBLIN, 4F, 4F_GOBLIN, 4P, 4P_GOBLIN, 5F, 5F_GOBLIN, 5P, 5P_GOBLIN, 6F, 6F_GOBLIN, 6P, 6P_GOBLIN, UD_6F_FLX, UD_6P_STD, UD_7F_FLX, UD_7P_STD, UD_8F_FLX, UD_8P_STD

[AUTOMATION_CARD_MATRIX] Export completed.
[VALIDATION] Running prop warehouse quality monitor...
[PROP_WAREHOUSE] Duplicate props detected: 9 duplicate rows (by date,snapshot_time,player,prop_type,line).
[PROP_WAREHOUSE] Line drift anomalies: 3 player+stat combos have conflicting lines within the same snapshot.
[PROP_WAREHOUSE] Player name variants detected for 5 canonical names (possible new aliases).
[PROP_WAREHOUSE] File not found at C:\Users\Media-Czar Desktop\Dev\dfs-optimizer\data\prop_history\mlb_props_master.csv. Skipping validation.

[VALIDATION] Prop warehouse validation completed.
[DEPLOY] Deploying dashboard to IONOS...

(!) Some chunks are larger than 500 kB after minification. Consider:
- Using dynamic import() to code-split the application
- Use build.rollupOptions.output.manualChunks to improve chunking: https://rollupjs.org/configuration-options/#output-manualchunks
- Adjust chunk size limit for this warning via build.chunkSizeWarningLimit.

[DEPLOY] Dashboard deployed successfully.
