Sport,id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta,lineMovDir,scoringWeight
NBA,prizepicks-10620100-points_assists-19.5,Matas Buzelis,CHI,,points_assists,19.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:matas buzelis:points_assists:19.5:over:game,Matas Buzelis - Points Assists - 19.5,,,1
NBA,prizepicks-10638434-points_assists-11.5,Leonard Miller,CHI,,points_assists,11.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:leonard miller:points_assists:11.5:over:game,Leonard Miller - Points Assists - 11.5,,,1
NBA,prizepicks-10643854-points_assists-17.5,Coby White,CHA,,points_assists,17.5,NBA,Underdog_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:coby white:points_assists:17.5:over:game,Coby White - Points Assists - 17.5,,,1
NBA,prizepicks-10643940-pra-23.5,Jaime Jaquez,MIA,,pra,23.5,NBA,Underdog_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:jaime jaquez:pra:23.5:over:game,Jaime Jaquez - Pra - 23.5,,,1
NBA,prizepicks-10644030-pra-23.5,Miles Bridges,CHA,,pra,23.5,NBA,Underdog_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:miles bridges:pra:23.5:over:game,Miles Bridges - Pra - 23.5,,,1
NBA,prizepicks-10644111-points_assists-16.5,Pelle Larsson,MIA,,points_assists,16.5,NBA,Underdog_synth,-120.67039106145252,120.67039106145252,0.5,0.04683544303797471,0.04683544303797471,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:pelle larsson:points_assists:16.5:over:game,Pelle Larsson - Points Assists - 16.5,,,1
NBA,prizepicks-10624882-assists-6.5,Cam Spencer,MEM,CHI,assists,6.5,NBA,FanDuel,-130,-102,0.5,0.046589315065027836,0.046589315065027836,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:cam spencer:assists:6.5:over:game,Cam Spencer - Assists - 6.5,,,1.05
NBA,prizepicks-10619892-points-28.5,Luka Dončić,LAL,HOU,points,28.5,NBA,FanDuel,-158,118,0.5,0.04624158422415503,0.04624158422415503,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:luka doncic:points:28.5:over:game,Luka Dončić - Points - 28.5,,,0.95
NBA,prizepicks-10620036-points-15.5,Jaylen Wells,MEM,CHI,points,15.5,NBA,FanDuel,-130,-102,0.5,0.04487763784887677,0.04487763784887677,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:jaylen wells:points:15.5:over:game,Jaylen Wells - Points - 15.5,,,1
NBA,prizepicks-10643532-rebounds-7.5,Clint Capela,HOU,LAL,rebounds,7.5,NBA,FanDuel,-146,110,0.5,0.04133170466883829,0.04133170466883829,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:clint capela:rebounds:7.5:over:game,Clint Capela - Rebounds - 7.5,,,0.95
NBA,prizepicks-10620720-pra-17.5,Neemias Queta,BOS,PHX,pra,17.5,NBA,DraftKings,-135,105,0.5,0.038492835043152596,0.038492835043152596,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:neemias queta:pra:17.5:over:game,Neemias Queta - Pra - 17.5,,,0.95
NBA,prizepicks-10626969-assists-6.5,Walter Clayton,MEM,CHI,assists,6.5,NBA,Pinnacle,-129,-102,0.5,0.03781908693540559,0.03781908693540559,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:walter clayton:assists:6.5:over:game,Walter Clayton - Assists - 6.5,,,0.95
NBA,prizepicks-10620975-points-22.5,Jayson Tatum,BOS,PHX,points,22.5,NBA,DraftKings,-130,100,0.5,0.037074568288853915,0.037074568288853915,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:jayson tatum:points:22.5:over:game,Jayson Tatum - Points - 22.5,,,1.05
NBA,prizepicks-10635048-rebounds_assists-8.5,Ryan Nembhard,DAL,,rebounds_assists,8.5,NBA,FanDuel_synth,-114.92537313432835,114.92537313432835,0.5,0.03645833333333332,0.03645833333333332,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:ryan nembhard:rebounds_assists:8.5:over:game,Ryan Nembhard - Rebounds Assists - 8.5,,,1.05
NBA,prizepicks-10620794-points_rebounds-7.5,Sam Hauser,BOS,,points_rebounds,7.5,NBA,FanDuel_synth,-115.58654634946677,115.58654634946677,0.5,0.03614916286149161,0.03614916286149161,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:sam hauser:points_rebounds:7.5:over:game,Sam Hauser - Points Rebounds - 7.5,,,1
NBA,prizepicks-10619974-pra-13.5,Rui Hachimura,LAL,HOU,pra,13.5,NBA,DraftKings,-130,-101,0.5,0.03387601296596443,0.03387601296596443,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:rui hachimura:pra:13.5:over:game,Rui Hachimura - Pra - 13.5,,,1.05
NBA,prizepicks-10618930-points_assists-9.5,Kris Dunn,LAC,SAS,points_assists,9.5,NBA,BetMGM,-135,100,0.5,0.03292079207920795,0.03292079207920795,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:kris dunn:points_assists:9.5:over:game,Kris Dunn - Points Assists - 9.5,,,0.95
NBA,prizepicks-10620564-points_rebounds-10.5,Collin Gillespie,PHX,BOS,points_rebounds,10.5,NBA,DraftKings,-130,100,0.5,0.03214285714285718,0.03214285714285718,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:collin gillespie:points_rebounds:10.5:over:game,Collin Gillespie - Points Rebounds - 10.5,,,1.05
NBA,prizepicks-10620586-points_assists-27.5,Derrick White,BOS,PHX,points_assists,27.5,NBA,DraftKings,-130,100,0.5,0.030612244897959218,0.030612244897959218,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:derrick white:points_assists:27.5:over:game,Derrick White - Points Assists - 27.5,,,1
NBA,prizepicks-10621664-points_assists-22.5,Tre Jones,CHI,MEM,points_assists,22.5,NBA,DraftKings,-130,100,0.5,0.030612244897959218,0.030612244897959218,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:tre jones:points_assists:22.5:over:game,Tre Jones - Points Assists - 22.5,,,1
