Sport,site,flexType,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp
NBA,PP,6F,0.3590712050817182,0.19837912554606618,0.4954766619076921,0.5763696272412148,7.636962724121481,prizepicks-10262619-assists-4,prizepicks-10273468-rebounds-4,prizepicks-10278810-pra-13.5,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10268481-steals-0.5,prizepicks-10273470-rebounds-4,0.016483852115131585,0.016483852115131585,0.008241926057565793,6.1814445431743446,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.35860819918847975,0.06793040995942398,0.06793040995942398,0.5840321191205184,8.403211912051848,prizepicks-10273491-assists-4,prizepicks-10260527-rebounds-5,prizepicks-10273470-rebounds-4,prizepicks-10273468-rebounds-4,prizepicks-10268481-steals-0.5,,0.01417063145095376,0.01417063145095376,0.00708531572547688,5.31398679410766,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.35860819918847975,0.06793040995942398,0.06793040995942398,0.5840321191205184,8.403211912051848,prizepicks-10273470-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10262619-assists-4,prizepicks-10273491-assists-4,,0.01417063145095376,0.01417063145095376,0.00708531572547688,5.31398679410766,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.35672389290846906,0.03617930381089251,0.03617930381089251,0.5750659242765838,7.506592427658375,prizepicks-10268481-steals-0.5,prizepicks-10260527-rebounds-5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273683-rebounds_assists-5,prizepicks-10268358-pra-15.5,prizepicks-10273468-rebounds-4,0.007267320135226299,0.007267320135226299,0.0036336600676131494,2.7252450507098622,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.35672389290846906,0.03617930381089251,0.03617930381089251,0.5750659242765838,7.506592427658375,prizepicks-10268481-steals-0.5,prizepicks-10273683-rebounds_assists-5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273470-rebounds-4,prizepicks-10268358-pra-15.5,prizepicks-10260527-rebounds-5,0.007267320135226299,0.007267320135226299,0.0036336600676131494,2.7252450507098622,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.35672389290846906,0.03617930381089251,0.03617930381089251,0.5750659242765838,7.506592427658375,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10273491-assists-4,prizepicks-10268358-pra-15.5,prizepicks-10262619-assists-4,0.007267320135226299,0.007267320135226299,0.0036336600676131494,2.7252450507098622,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.355309042358398,0.03614157446289061,0.03614157446289061,0.5750025069948,7.5002506994800004,prizepicks-10273468-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10273491-assists-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10268481-steals-0.5,prizepicks-10263717-rebounds_assists-8.5,0.007253636834250159,0.007253636834250159,0.0036268184171250797,2.7201138128438096,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.355309042358398,0.03614157446289061,0.03614157446289061,0.5750025069948,7.5002506994800004,prizepicks-10273491-assists-4,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10262619-assists-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,0.007253636834250159,0.007253636834250159,0.0036268184171250797,2.7201138128438096,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3519773268949016,0.19753864542752694,0.4942397953998548,0.5757654342024975,7.576543420249747,prizepicks-10273470-rebounds-4,prizepicks-10278810-pra-13.5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273491-assists-4,prizepicks-10251823-rebounds_assists-9,0.01625043937663151,0.01625043937663151,0.008125219688315755,6.093914766236816,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.3516433734769562,0.06758216867384781,0.06758216867384781,0.5833590072650081,8.33590072650081,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273470-rebounds-4,,0.013936524537594915,0.013936524537594915,0.006968262268797458,5.226196701598093,HALF_KELLY,,,2026-03-03T16:41:59 ET
