Sport,site,flexType,Site-Leg,Player-Prop-Line,cardEv,compositeScore,diversityScore,winProbCash,winProbAny,avgProb,avgEdgePct,modelEdge,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,leg7Id,leg8Id,runTimestamp,kellyStake,kellyFrac,bestBetScore,bestBetTier,DeepLink
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Julian Champagnie PTS o6.5 | LeBron James STL o1.5,1.5465102974996712,1.0310068649997808,0.6666666666666666,0.3417114538558786,0.3417114538558786,0.7492751076257975,-5.166672519562298,-0.16568742167121803,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,underdog-d2b4dcf3-5a4e-415b-b9ce-5e9ece3eba2e-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.44137779456421206,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | LeBron James PTS o11.5 | Kevin Durant STL o1.5,1.528772619788426,1.0191817465256172,0.6666666666666666,0.3242016179215931,0.3242016179215931,0.7635815049875941,-5.312750419747524,-0.20608956832034553,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4306005704239425,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Stephon Castle PTS o12.5 | Kevin Durant STL o1.5,1.528772619788426,1.0191817465256172,0.6666666666666666,0.3242016179215931,0.3242016179215931,0.7381283551821127,-5.112967361079986,-0.15659572427109802,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-84e34d07-bd25-4468-b942-844dab4e3a01-points-12.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.41440807271060737,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Bennedict Mathurin PTS o15.5 | Kevin Durant STL o1.5,1.528772619788426,1.0191817465256172,0.6666666666666666,0.3242016179215931,0.3242016179215931,0.7369450211009475,-5.0952463474278025,-0.1541426766068496,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-b01e89aa-4eff-45ea-83c3-c1bbed04c216-points-15.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.41297177738629526,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Stephon Castle PTS o12.5 | Kevin Durant STL o1.5,1.528772619788426,1.0191817465256172,0.6666666666666666,0.3242016179215931,0.3242016179215931,0.7322326226086008,-5.114305324313528,-0.14716832540457464,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-84e34d07-bd25-4468-b942-844dab4e3a01-points-12.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4145165151718659,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Bennedict Mathurin PTS o15.5 | Kevin Durant STL o1.5,1.528772619788426,1.0191817465256172,0.6666666666666666,0.3242016179215931,0.3242016179215931,0.7310492885274354,-5.096584310661345,-0.14476337671413497,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-b01e89aa-4eff-45ea-83c3-c1bbed04c216-points-15.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4130802198475538,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Darius Garland PTS o15.5 | Austin Reaves STL o1.5,1.524005769516728,1.0160038463444852,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7309685413558017,-5.124877529860109,-0.14381043354095385,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4156294728305878,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Darius Garland PTS o15.5 | Austin Reaves STL o1.5,1.524005769516728,1.0160038463444852,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7250728087822899,-5.126215493093652,-0.13462980764821258,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.41573798214621227,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Austin Reaves STL o1.5 | Kevin Durant STL o1.5,1.5055321444516667,1.003688096301111,0.6666666666666666,0.2817737454399086,0.2817737454399086,0.6975615971432357,-4.798782237815365,-0.12021740987020563,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.33804271117493534,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Austin Reaves STL o1.5 | Kevin Durant STL o1.5,1.5055321444516667,1.003688096301111,0.6666666666666666,0.2817737454399086,0.2817737454399086,0.6916658645697238,-4.800120201048908,-0.11233523035432103,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.33813696190282944,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Kevin Durant PTS o19.5 | Austin Reaves STL o1.5,1.4999676193308544,0.9999784128872362,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7614098354712601,-5.32148885905502,-0.20233692360717892,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4315747247180085,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Jabari Smith Jr. PTS o9.5 | Julian Champagnie PTS o6.5 | Austin Reaves STL o1.5,1.4999676193308544,0.9999784128872362,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7463406464184622,-5.147121214627196,-0.1719735565803403,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4174334439342264,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Kevin Durant PTS o19.5 | Austin Reaves STL o1.5,1.4999676193308544,0.9999784128872362,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.755514102897748,-5.322826822288562,-0.19200871947784504,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.43168323403363285,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Julian Champagnie PTS o6.5 | Austin Reaves STL o1.5,1.4999676193308544,0.9999784128872362,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7404449138449504,-5.148459177860739,-0.16224071258878758,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.41754195324985083,lottery,https://play.underdogfantasy.com/pick-em
